,Fairness Metric,Fairness Metric,Compatibility,Compatibility,Allocation,Allocation,Allocation,Results,Results,nDCG,Exposure,Exposure
,1,2,1,2,1,2,none,In,Out,All,1,2
0,1.0,1.0,,,0.0,0.0,1,"[('3484', 7.86710150118139), ('2367', 6.353344714576182), ('2802', 6.090323100129401), ('1380', 5.928021585060792), ('3970', 5.808172604831405), ('2778', 5.761545002193815), ('3365', 5.75868433260613), ('3847', 5.651568313788355), ('4280', 5.516713307133012), ('123', 5.489477013873776), ('4462', 5.386836095610512), ('3052', 5.3243297459201155), ('3928', 5.219356018458286), ('1197', 5.171244419322127), ('838', 5.054670973475829), ('1506', 4.984381989923059), ('3393', 4.882968606043531), ('2168', 4.8064532985085), ('4096', 4.790947246304959), ('3967', 4.732915769126973), ('1526', 4.722696737312024), ('4076', 4.495875652869921), ('4509', 4.4711950101442826), ('3398', 4.453210735794274), ('3695', 4.430271342949392), ('3196', 4.369012737086376), ('2507', 4.315950119408018), ('2376', 4.238768930241314), ('127', 4.137856578304498), ('2002', 4.034937519371524), ('3191', 3.960777806490638), ('3475', 3.950029618477762), ('3060', 3.930646541789606), ('1103', 3.897736408957321), ('1470', 3.8690968100170036), ('2791', 3.8418460295068293), ('1373', 3.781113716137801), ('1157', 3.776398615984836), ('1953', 3.694089160291793), ('3111', 3.6540672002078014), ('6', 3.5681866734236056), ('3425', 3.4462418689381398), ('3465', 3.393012054475218), ('3776', 3.366212011545424), ('537', 3.34212302389824), ('2955', 3.3166186295015994), ('326', 3.3073601007467315), ('333', 3.294610160976372), ('1672', 3.250184829519086), ('4446', 3.24890486994124)]","[('3484', 49.0), ('2367', 48.0), ('2802', 47.0), ('1380', 46.0), ('3970', 45.0), ('2778', 44.0), ('3365', 43.0), ('3847', 42.0), ('4280', 41.0), ('123', 40.0)]",1.0,0.0,0.1
1,0.0,1.0,,,1.0,0.0,1,"[('3961', 5.367536723913962), ('590', 5.3552412436495676), ('3403', 4.7194364301303), ('1768', 4.6374706744587275), ('4737', 4.3302259167752055), ('549', 4.138359832591737), ('3128', 4.095301532677068), ('3756', 3.979684098918002), ('2440', 3.8282911298165905), ('3659', 3.7883507287536142), ('162', 3.7231854658370307), ('3621', 3.7217305489259056), ('1522', 3.605608817319189), ('4604', 3.5305816142885633), ('992', 3.3850447410549394), ('1421', 3.2421409122050764), ('536', 3.2421356294339505), ('3103', 3.2320529051144526), ('4836', 3.2095750397608516), ('1223', 3.2040699178653895), ('2971', 3.197557476329033), ('630', 3.179923237009713), ('3667', 3.1398813021655014), ('2078', 3.082193763806576), ('4006', 3.0713650302654165), ('534', 3.058124954431097), ('4805', 3.0579707727773435), ('265', 2.967696897073161), ('3029', 2.929805519127127), ('3181', 2.926845109016763), ('537', 2.91071149712209), ('2104', 2.9088076711298245), ('4581', 2.893400998537354), ('122', 2.888351197808374), ('2965', 2.8803634369842985), ('177', 2.8715712185663445), ('1697', 2.8620056790102417), ('4345', 2.807278780165575), ('442', 2.7947171903850854), ('3217', 2.7362191870541492), ('1270', 2.6921843615081054), ('752', 2.6058052368743434), ('2005', 2.5671658193675486), ('262', 2.5634565177522752), ('3473', 2.5312311804622354), ('4676', 2.482117642426748), ('2155', 2.481490478177723), ('2843', 2.4596121441385037), ('384', 2.458112055542848), ('3409', 2.4294249071928564)]","[('590', 46.888888888888886), ('992', 41.111111111111114), ('536', 40.22222222222222), ('265', 35.333333333333336), ('3961', 33.44444444444444), ('3403', 32.55555555555556), ('1768', 32.111111111111114), ('177', 31.77777777777778), ('4737', 31.666666666666668), ('549', 31.22222222222222)]",0.8219484816481548,0.5,0.4
2,1.0,1.0,,,0.0,0.0,1,"[('3484', 5.705318104846835), ('1607', 4.709806529312204), ('1268', 4.498050613447145), ('1959', 4.371847714347278), ('2546', 4.249387873851681), ('19', 4.209237924986044), ('999', 4.167009211810879), ('1461', 4.094802005135777), ('824', 4.0655228377696435), ('3825', 4.0336156359346775), ('3846', 3.964724329200362), ('1560', 3.909408665966347), ('4203', 3.9038612845330043), ('1053', 3.7544645816383166), ('4659', 3.7433680168469023), ('296', 3.7289175404287795), ('3756', 3.6902555185027), ('3393', 3.6886486297618717), ('1998', 3.60916424221729), ('3692', 3.348762730265452), ('1398', 3.2823495360950163), ('3421', 3.199569511969154), ('1119', 3.1755823953399083), ('2394', 3.0975871239485344), ('1792', 3.095242329239061), ('689', 3.0817368220426977), ('2027', 3.080106548366872), ('4635', 3.0771931489300313), ('3687', 3.071064546322169), ('2728', 2.98583025552162), ('1081', 2.9631020565769486), ('618', 2.912763288868277), ('263', 2.892090455616282), ('777', 2.871610357621753), ('4555', 2.8566333218589315), ('3876', 2.8527469762280258), ('3190', 2.815917836115794), ('4691', 2.791147663242884), ('2479', 2.7472092188709603), ('2368', 2.7315089697014017), ('3463', 2.728624050305627), ('2287', 2.6862757876613346), ('878', 2.664317987254093), ('1785', 2.640754096317713), ('3439', 2.607801666121971), ('2708', 2.538058854053901), ('803', 2.48227617546787), ('176', 2.47619937583736), ('1626', 2.449998826259546), ('2849', 2.426636002511952)]","[('3484', 49.0), ('1607', 48.0), ('1268', 47.0), ('1959', 46.0), ('2546', 45.0), ('19', 44.0), ('999', 43.0), ('1461', 42.0), ('824', 41.0), ('3825', 40.0)]",1.0,0.1,0.3
3,1.0,1.0,,,0.0,0.0,1,"[('3816', 11.64300547825603), ('663', 10.574952862041474), ('1434', 10.274625999886547), ('2749', 8.925367241805816), ('4307', 8.650640134095157), ('2944', 8.279112552210911), ('186', 7.653992918866049), ('2970', 7.392853267992686), ('3486', 7.065184280183048), ('1403', 6.711585454523645), ('525', 6.6647403722697325), ('4227', 6.621190412267707), ('526', 6.150535983193405), ('1014', 6.135169226335047), ('1544', 5.9050098183691695), ('339', 5.8068519420140206), ('4709', 5.700092444956386), ('3522', 5.478646192422997), ('3585', 5.462791294634088), ('901', 5.070442189496639), ('1748', 5.050531022735149), ('370', 4.941277365956482), ('3579', 4.912175602314657), ('1547', 4.876593851199907), ('1925', 4.835457335018507), ('1471', 4.75495740041085), ('2729', 4.437991908141239), ('2505', 4.399707148679622), ('1817', 4.381377216491598), ('2288', 4.219854317545716), ('4219', 4.133775467853277), ('2818', 4.102724371885295), ('2614', 4.09259939038296), ('590', 4.046171041948945), ('1076', 4.027998507241206), ('2805', 3.8954495018287854), ('3852', 3.8809921086031434), ('4616', 3.7447893833463053), ('4771', 3.725073200094042), ('489', 3.6993348401968467), ('127', 3.6876884264194585), ('4216', 3.6579384952765626), ('20', 3.52799189523831), ('2590', 3.445201441747431), ('3033', 3.368729098150108), ('3870', 3.165301975621194), ('4999', 3.1547734120266417), ('2833', 3.123598586400678), ('4658', 3.0625963876864013), ('3540', 3.059146615484243)]","[('3816', 49.0), ('663', 48.0), ('1434', 47.0), ('2749', 46.0), ('4307', 45.0), ('2944', 44.0), ('186', 43.0), ('2970', 42.0), ('3486', 41.0), ('1403', 40.0)]",1.0,0.2,0.2
4,1.0,1.0,,,0.0,0.0,1,"[('4042', 3.562563204046363), ('4052', 3.01622692980123), ('3093', 2.9004266852035134), ('379', 2.7810003345574774), ('2715', 2.7757199526114973), ('503', 2.642388722896999), ('740', 2.55691964858295), ('1060', 2.4821196215547534), ('1416', 2.376518310948794), ('3099', 2.3564704358448), ('1804', 2.34938715057282), ('3715', 2.2661091066138255), ('2722', 2.2616895421970753), ('4848', 2.2412407028166945), ('3548', 2.0962719843357185), ('50', 2.077773939143432), ('3991', 1.9949835185597715), ('876', 1.9929266961946601), ('1772', 1.9257314375465568), ('2583', 1.903939412203468), ('2173', 1.8945034916128636), ('2919', 1.8603912717706397), ('1142', 1.7230416148325434), ('3445', 1.6781373880410013), ('1233', 1.6660021851875695), ('171', 1.6407826281342361), ('1533', 1.63035354601722), ('2372', 1.6060285022927014), ('2604', 1.5351525850443284), ('76', 1.4485252940036586), ('1632', 1.4208529311960525), ('1922', 1.385127996701022), ('1851', 1.3587090600703888), ('2789', 1.3573882754773634), ('4633', 1.318286437113009), ('3808', 1.2780746771879579), ('3418', 1.1196038055912718), ('2386', 1.1032847981685787), ('3035', 1.0756065235176955), ('3833', 1.0622436850232828), ('2398', 1.0213982618714954), ('142', 0.9200838519275893), ('713', 0.8944945556118841), ('1045', 0.880504311913297), ('3972', 0.8652448904738315), ('2621', 0.8439949362760532), ('3301', 0.8339187016902456), ('231', 0.826231034956151), ('2976', 0.8108138616522731), ('300', 0.7397430858474707)]","[('4042', 49.0), ('4052', 48.0), ('3093', 47.0), ('379', 46.0), ('2715', 45.0), ('503', 44.0), ('740', 43.0), ('1060', 42.0), ('1416', 41.0), ('3099', 40.0)]",1.0,0.1,0.3
5,0.8999999999999999,1.0,,,1.0,0.0,1,"[('2930', 7.2126541619562925), ('4076', 6.61136029831051), ('627', 5.859185040762128), ('3618', 5.594828558583973), ('2258', 5.3484544733346935), ('3099', 5.233034282672546), ('713', 5.159473854305206), ('2035', 4.975505657366609), ('2747', 4.878920865914443), ('160', 4.578185944432356), ('60', 4.523829924558564), ('3349', 4.5105747102072575), ('1380', 4.449717032488931), ('4353', 4.384157427665028), ('615', 4.369103912416597), ('1466', 4.2053250168499), ('1560', 4.162832660063709), ('3902', 4.154598473783124), ('1023', 4.009054623362485), ('481', 3.992642073118044), ('2513', 3.9472337056912616), ('4648', 3.93036217654556), ('4450', 3.8716143849234976), ('492', 3.814928902179899), ('3512', 3.75272703772315), ('2183', 3.7456644550732383), ('3729', 3.54899665431316), ('3496', 3.384238847362602), ('4805', 3.346828814458915), ('2439', 3.2929081759358194), ('1691', 3.2880648140698696), ('1244', 3.173624069458522), ('2507', 3.1657642995991626), ('595', 3.149160085585307), ('2260', 3.0083351727921768), ('4570', 2.977922444391214), ('1418', 2.943293286728685), ('4848', 2.9337463224379587), ('2254', 2.8944040698745734), ('887', 2.885684105867343), ('3591', 2.855675102791987), ('4796', 2.825717335565594), ('1264', 2.742328837816916), ('564', 2.680928435245153), ('1831', 2.635547452141008), ('2521', 2.6128136611704007), ('4803', 2.586860983777279), ('925', 2.4990839029609355), ('4834', 2.428020909095528), ('1524', 2.421405021876045)]","[('160', 43.888888888888886), ('615', 41.666666666666664), ('2930', 34.0), ('4076', 33.55555555555556), ('595', 33.22222222222222), ('627', 33.111111111111114), ('3618', 32.666666666666664), ('2258', 32.22222222222222), ('3099', 31.77777777777778), ('713', 31.333333333333332)]",0.6935732235558046,0.3,0.5
6,1.0,1.0,,,0.0,0.0,1,"[('310', 7.354202430561189), ('237', 7.347886291310249), ('208', 6.057901375648349), ('335', 5.992016502931456), ('453', 5.843889195378384), ('2450', 5.635691193418285), ('2354', 5.385468621664097), ('1526', 5.354653937192726), ('4373', 5.285382534753786), ('1628', 5.0981926951419085), ('4123', 4.848637116877948), ('28', 4.676928295382866), ('1959', 4.614453527405038), ('4653', 4.560140816658356), ('3263', 4.470309292331216), ('3580', 4.455236409975313), ('3187', 4.217945120768865), ('4738', 4.043678027491835), ('2494', 3.996546504621957), ('4053', 3.985763132665676), ('2769', 3.9715674000000796), ('1928', 3.9221447428361436), ('4609', 3.8909982904158418), ('1116', 3.8734428591885512), ('3733', 3.8135724779537834), ('2316', 3.7492825249723643), ('2050', 3.6989224685140125), ('1445', 3.6798701411457397), ('4005', 3.604285315142056), ('827', 3.571732162856539), ('1867', 3.3096999952334905), ('3471', 3.3056832729397416), ('3373', 3.2966465594756853), ('393', 3.2951998772790723), ('2127', 3.261999658146883), ('787', 3.25925178160906), ('1123', 3.1689867464138923), ('2138', 3.1435512778828953), ('4852', 2.9807798468085536), ('1864', 2.9480283294881886), ('470', 2.924435386543888), ('4414', 2.901375074981003), ('667', 2.8790828338396697), ('4948', 2.807417629958798), ('3676', 2.7964388880047037), ('2756', 2.767840628098646), ('2443', 2.759758428946073), ('3113', 2.7087582114509194), ('1921', 2.6876076000516336), ('1313', 2.6437201501629755)]","[('310', 49.0), ('237', 48.0), ('208', 47.0), ('335', 46.0), ('453', 45.0), ('2450', 44.0), ('2354', 43.0), ('1526', 42.0), ('4373', 41.0), ('1628', 40.0)]",1.0,0.3,0.5
7,1.0,1.0,,,0.0,0.0,1,"[('2255', 3.3043404102100107), ('4100', 2.6203708953807165), ('3849', 2.500986741905101), ('3107', 2.4925731738853454), ('3403', 2.4013683709270763), ('4087', 2.394439120896676), ('232', 2.238695657972076), ('2026', 2.213440657063077), ('3692', 2.2087803956225724), ('162', 2.0017391357107863), ('3892', 1.9717699431070939), ('119', 1.9693897355911627), ('914', 1.9595140344368385), ('263', 1.9022993422859127), ('180', 1.8597783331481181), ('1429', 1.840609706152963), ('4483', 1.8187814695385027), ('4927', 1.7915950379471017), ('3166', 1.7404700614843787), ('156', 1.7237511678230917), ('1718', 1.7085193254170796), ('1827', 1.6957989720864082), ('555', 1.6707823337607994), ('3481', 1.6071680875700296), ('3074', 1.6038510447539738), ('3373', 1.566608394913787), ('2698', 1.562080640328749), ('2965', 1.5216619949893477), ('3123', 1.5139101390143022), ('4055', 1.4972479706186772), ('2284', 1.4734038595182157), ('3850', 1.4568068364361337), ('424', 1.4313278730504189), ('2907', 1.4188354487457597), ('1391', 1.411580738135735), ('3934', 1.405570538378186), ('893', 1.3482514693199354), ('1098', 1.3195175590697836), ('1150', 1.3038792526822065), ('1845', 1.2874886711374594), ('4576', 1.2865571386703802), ('4627', 1.278110856418718), ('3340', 1.2610932899891019), ('2730', 1.2587595314452158), ('2445', 1.181982295116611), ('1477', 1.1751531743268187), ('4937', 1.1565163035154669), ('4297', 1.122824833382853), ('4374', 1.1178426726366857), ('3029', 1.1040694779074693)]","[('2255', 49.0), ('4100', 48.0), ('3849', 47.0), ('3107', 46.0), ('3403', 45.0), ('4087', 44.0), ('232', 43.0), ('2026', 42.0), ('3692', 41.0), ('162', 40.0)]",1.0,0.1,0.1
8,1.0,1.0,,,0.0,0.0,1,"[('4978', 3.8595292720054672), ('2168', 3.257193877980627), ('2681', 3.060645857870242), ('2632', 2.868865601645117), ('209', 2.550498373239629), ('3463', 2.4637958060338567), ('4333', 2.247603499955011), ('2346', 2.167129987063572), ('1698', 2.1509044820506493), ('4365', 2.1105182932184228), ('4511', 2.0830968545846402), ('4312', 1.95349028160426), ('2227', 1.9510373856778132), ('3554', 1.782171735036874), ('4227', 1.7650474007670447), ('1863', 1.7586812222460189), ('4929', 1.7558654055098897), ('1758', 1.720952809743188), ('301', 1.703478051361231), ('3396', 1.6846124532502798), ('4019', 1.671031705207468), ('157', 1.6430376571140766), ('1910', 1.6329794201376153), ('4116', 1.5645427382622343), ('1210', 1.527115039560923), ('3514', 1.5166498944230684), ('3163', 1.44234630519651), ('798', 1.4337672704502247), ('868', 1.4327473497174548), ('636', 1.4324239856544054), ('1041', 1.4112371716095342), ('1305', 1.3664661398630829), ('3424', 1.3636593415635536), ('4904', 1.3322622604567653), ('1467', 1.32876868067307), ('4445', 1.3172792720283504), ('3659', 1.299360157244752), ('1677', 1.2446812484556993), ('2253', 1.2430175560698558), ('4252', 1.1343911770330548), ('4420', 1.1311350123004107), ('282', 1.1242424406819542), ('407', 1.099683448152016), ('2874', 1.0648415503020243), ('1928', 0.9793324825821028), ('140', 0.9647918067702576), ('2041', 0.9571821455616499), ('2031', 0.9562500244627404), ('4509', 0.9540656651066592), ('808', 0.9430261425539308)]","[('4978', 49.0), ('2168', 48.0), ('2681', 47.0), ('2632', 46.0), ('209', 45.0), ('3463', 44.0), ('4333', 43.0), ('2346', 42.0), ('1698', 41.0), ('4365', 40.0)]",1.0,0.1,0.1
